code,level,parentCode,nameTh,canIssueNumber,isActive,note
010000,1,,สำนักอธิการบดี,true,true,
010100,2,010000,ฝ่ายบริหารทั่วไป,true,true,
010101,3,010100,สำนักงานเลขานุการสภามหาวิทยาลัยเกริก,false,true,
010102,3,010100,งานเลขานุการ,false,true,
010103,3,010100,งานสารบรรณ,false,true,
010104,3,010100,งานบริการจัดเลี้ยงศูนย์อาหารและรับรอง,false,true,
010200,2,010000,ฝ่ายอาคารถานที่,true,true,
010201,3,010200,งานอาคารสถานที่,false,true,
010202,3,010200,งานยานพาหนะและรักษาความปลอดภัย,false,true,
010203,3,010200,งานโสตทัศนูปกรณ์,false,true,
020000,1,,สำนักวิชาการ,true,true,
020100,2,020000,ฝ่ายบริการวิชาการและมาตรฐานการศึกษา,true,true,
020200,2,020000,ฝ่ายทะเบียนและวัดผลการศึกษา,true,true,
020201,3,020200,งานทะเบียนประวัตินักศึกษา,false,true,
020202,3,020200,งานวัดผลการศึกษาและผลิตเอกสารทางวิชาการ,false,true,
030000,1,,สำนักหอสมุด,true,true,
030100,2,030000,ไม่ระบุฝ่าย,true,true,
030101,3,030100,งานพัฒนาและบริการสารสนเทศ,false,true,
030102,3,030100,งานวารสาร,false,true,
040000,1,,สำนักกิจการนักศึกษา,true,true,
040100,2,040000,ฝ่ายส่งเสริมกิจกรรมและบริการสวัสดิการนักศึกษา,true,true,
040101,3,040100,งานหอพักนักศึกษา,false,true,
040102,3,040100,งานกองทุนกู้ยืมเพื่อการศึกษา,false,true,
040103,3,040100,งานวินัยและบริการสวัสดิการนักศึกษา,false,true,
040104,3,040100,งานกิจกรรมนักศึกษาและการกีฬา,false,true,
040200,2,040000,ศูนย์ศิลปวัฒนธรรม,true,true,
040300,2,040000,ศูนย์แนะแนวอาชีพและจัดหางาน,true,true,
050000,1,,สำนักพัฒนาหลักสูตรและประกันคุณภาพการศึกษา,true,true,
050100,2,050000,ฝ่ายประกันคุณภาพการศึกษา,true,true,
050101,3,050100,งานประมวลผลข้อมูลและวางแผนพัฒนา,false,true,
050200,2,050000,ฝ่ายพัฒนาหลักสูตร,true,true,
050201,3,050200,งานพัฒนาหลักสูตร,false,true,
050300,2,050000,ศูนย์ยกระดับ QS,true,true,
050301,3,050300,งานยกระดับ QS,false,true,
060000,1,,สำนักสื่อสารองค์กร,true,true,
060100,2,060000,ฝ่ายสื่อสารองค์กร,true,true,
060101,3,060100,งานสื่อสารองค์กรและศิษย์เก่าสัมพันธ์,false,true,
060102,3,060100,งานผลิตสื่อ Digital และ Social Media,false,true,
070000,1,,สำนักงานการต่างประเทศ,true,true,
070100,2,070000,ศูนย์แนะแนวการต่างประเทศ,true,true,
070200,2,070000,ศูนย์ความร่วมมือทางวิชาการต่างประเทศ,true,true,
080000,1,,สำนักทรัพย์สิน,true,true,
080100,2,080000,ฝ่ายการเงินและงบประมาณ,true,true,
080200,2,080000,ฝ่ายบัญชี,true,true,
080300,2,080000,ฝ่ายทรัพยากรมนุษย์,true,true,
080400,2,080000,ฝ่ายจัดซื้อ และพัสดุ,true,true,
090000,1,,สำนักงานบริหารการศึกษาออนไลน์,true,true,
090100,2,090000,ฝ่ายวิชาการหลักสูตรออนไลน์,true,true,
090200,2,090000,ฝ่ายการตลาดหลักสูตรออนไลน์,true,true,
090300,2,090000,ฝ่ายพัฒนาสื่อบทเรียนอิเล็กทรอนิกส์,true,true,
100000,1,,สถาบันภาษา,true,true,
100100,2,100000,สำนักงานธุรการและประสานงาน,true,true,
110000,1,,สถาบันพัฒนาภาวะผู้นำ,true,true,
110100,2,110000,สำนักงานธุรการและประสานงาน,true,true,
120000,1,,สถาบันวิจัย ไทย จีน อาเซียน,true,true,
120100,2,120000,สำนักงานธุรการและประสานงาน,true,true,
130000,1,,สถาบันการจัดการความปลอดภัยแห่งมหาวิทยาลัยเกริก,true,true,
130100,2,130000,สำนักงานธุรการและประสานงาน,true,true,
140000,1,,สถาบันวิจัยและนวัตกรรม,true,true,
140100,2,140000,ศูนย์วิจัยและพัฒนา,true,true,
140101,3,140100,งานส่งเสริมวิจัย ตำราและวารสาร,false,true,
140102,3,140100,งานวิจัยเพื่อท้องถิ่น,false,true,
140200,2,140000,ฝ่ายตำราและวารสารวิชาการ,true,true,
140300,2,140000,ฝ่ายส่งเสริมและพัฒนาวิจัย,true,true,
140400,2,140000,ฝ่ายทะเบียนงานทั่วไป,true,true,
140500,2,140000,ฝ่ายระบบสารสนเทศงานวิจัย,true,true,
150000,1,,สถาบันบริหารธุรกิจหนานหยางกรุงเทพ (ระงับการใช้งานเนื่องจากบอกชื่อหน่วยงานผิด),false,false,ระงับการใช้งานเนื่องจากบอกชื่อหน่วยงานผิด
150100,2,150000,สำนักงานธุรการและประสานงาน,false,false,
150200,2,150000,ไม่ระบุสาขาวิชา,false,false,
150211,3,150200,หลักสูตรบริหารธุรกิจบัณฑิต (หลักสูตรภาษาจีน),false,false,
150221,3,150200,หลักสูตรบริหารธุรกิจมหาบัณฑิต (หลักสูตรภาษาจีน),false,false,
150231,3,150200,หลักสูตรบริหารธุรกิจดุษฎีบัณฑิต (หลักสูตรภาษาจีน),false,false,
150300,2,150000,สาขาวิชาธุรกิจและการจัดการ,false,false,
150331,3,150300,หลักสูตรปรัชญาดุษฎีบัณฑิต (หลักสูตรภาษาจีน),false,false,
160000,1,,สำนักงานส่งเสริมตำแหน่งทางวิชาการ,true,true,
160100,2,160000,สำนักงานธุรการและประสานงาน,true,true,
170000,1,,สำนักงานมหาวิทยาลัยภาษาและวัฒนธรรมปังกิ่งกรุงเทพ,true,true,
170100,2,170000,สำนักงานธุรการและประสานงาน,true,true,
180000,1,,สำนักการศึกษาพิเศษ,true,true,
180100,2,180000,สำนักงานธุรการและประสานงาน,true,true,
